STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130730,-9999, , , ,9999,73, , ,7,2400,63, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130731,-9999, , , ,9999,71, , ,7,2400,65, , ,7,2400,66, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130801,-9999, , , ,9999,78, , ,7,2400,65, , ,7,2400,70, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130802,-9999, , , ,9999,83, , ,7,2400,63, , ,7,2400,72, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130803,-9999, , , ,9999,74, , ,7,2400,67, , ,7,2400,68, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130804,-9999, , , ,9999,70, , ,7,2400,65, , ,7,2400,67, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130805,-9999, , , ,9999,75, , ,7,2400,63, , ,7,2400,70, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130806,-9999, , , ,9999,84, , ,7,2400,68, , ,7,2400,75, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130807,-9999, , , ,9999,87, , ,7,2400,69, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130808,-9999, , , ,9999,72, , ,7,2400,68, , ,7,2400,68, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130809,-9999, , , ,9999,80, , ,7,2400,65, , ,7,2400,75, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130810,-9999, , , ,9999,76, , ,7,2400,68, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130811,-9999, , , ,9999,77, , ,7,2400,67, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130812,-9999, , , ,9999,83, , ,7,2400,69, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130813,-9999, , , ,9999,70, , ,7,2400,63, , ,7,2400,63, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130814,-9999, , , ,9999,68, , ,7,2400,62, , ,7,2400,63, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130815,-9999, , , ,9999,75, , ,7,2400,61, , ,7,2400,68, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130816,-9999, , , ,9999,76, , ,7,2400,66, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130817,-9999, , , ,9999,76, , ,7,2400,67, , ,7,2400,70, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130818,-9999, , , ,9999,76, , ,7,2400,67, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130819,-9999, , , ,9999,79, , ,7,2400,68, , ,7,2400,75, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130820,-9999, , , ,9999,88, , ,7,2400,71, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130821,-9999, , , ,9999,91, , ,7,2400,72, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130822,-9999, , , ,9999,75, , ,7,2400,69, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130823,-9999, , , ,9999,76, , ,7,2400,68, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130824,-9999, , , ,9999,78, , ,7,2400,68, , ,7,2400,73, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130825,-9999, , , ,9999,90, , ,7,2400,70, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130826,-9999, , , ,9999,91, , ,7,2400,73, , ,7,2400,81, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130827,-9999, , , ,9999,94, , ,7,2400,78, , ,7,2400,84, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130828,-9999, , , ,9999,84, , ,7,2400,69, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130829,-9999, , , ,9999,76, , ,7,2400,68, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130830,-9999, , , ,9999,95, , ,7,2400,70, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130831,-9999, , , ,9999,75, , ,7,2400,69, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130901,-9999, , , ,9999,80, , ,7,2400,69, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130902,-9999, , , ,9999,74, , ,7,2400,66, , ,7,2400,66, , ,7,2400
